date,close,rules_regime,threshold_regime,hybrid_regime
2016-10-10,111.79060363769531,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-11,110.19654846191406,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-12,110.10279846191406,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-13,109.7089614868164,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-14,109.84021759033203,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-17,109.54016876220703,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-18,110.5153579711914,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-19,110.50598907470703,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-20,110.37471771240234,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-21,110.78730773925781,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-24,112.11881256103516,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-25,111.76248931884766,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-26,111.00296783447266,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-27,110.49662780761719,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-10-28,109.802734375,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-10-31,109.69956970214844,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-01,108.8743896484375,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-02,108.00235748291016,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-03,106.9427719116211,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-04,106.56771087646484,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-07,109.09945678710938,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-08,109.81214141845703,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-09,110.31844329833984,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-10,108.53685760498047,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-11,108.583740234375,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-14,107.48663330078125,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-15,108.97759246826172,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-16,109.62457275390625,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-17,110.42161560058594,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-18,110.00901794433594,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-21,111.15299224853516,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-22,111.49054718017578,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-11-23,111.04048156738281,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-25,111.39678192138672,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-28,111.14360046386719,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-29,111.52806854248047,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
2016-11-30,110.17780303955078,BULL_NORMAL_VOL,TRANSITION,BULL_NORMAL_VOL
